T,action,atoms_or_gates,delta_row,delta_col,aod_offset_row,aod_offset_col,solver_duration_us,solver_end_us,paper_eq3_motion_us,paper_eq3_plus_solver_overheads_end_us
25,move,144,-4,0,-10,1,120.60453783110545,2408.3709616916967,54.772255750516614,1113.0794972976173
26,gate,60,0,0,-10,1,1.77,2410.1409616916967,0.0,1114.8494972976173
27,move,144,-24,0,-34,1,295.4195783503985,2705.5605400420955,134.16407864998737,1249.0135759476047
28,gate,60,0,0,-34,1,1.5999999999999999,2707.1605400420954,0.0,1250.6135759476047
29,gate,18,0,0,-34,1,1.77,2708.9305400420953,0.0,1252.3835759476046
30,move,144,76,0,42,1,545.4545454545454,3254.385085496641,238.74672772626644,1491.1303036738711
31,gate,6,0,0,42,1,1.77,3256.155085496641,0.0,1492.9003036738711
32,move,144,-4,0,38,1,120.60453783110545,3376.7596233277463,54.772255750516614,1547.6725594243878
33,gate,12,0,0,38,1,1.77,3378.5296233277463,0.0,1549.4425594243878
34,move,144,-24,0,14,1,295.4195783503985,3673.949201678145,134.16407864998737,1683.6066380743753
35,gate,12,0,0,14,1,1.5999999999999999,3675.549201678145,0.0,1685.2066380743752
36,gate,54,0,0,14,1,1.77,3677.319201678145,0.0,1686.9766380743752
37,move,144,-13,0,1,1,217.4229226018436,3894.7421242799887,98.74208829065749,1785.7187263650326
38,move,144,0,3,1,4,104.4465935734187,3999.1887178534075,47.43416490252569,1833.1528912675583
39,gate,60,0,0,1,4,1.77,4000.9587178534075,0.0,1834.9228912675583
40,move,144,0,4,1,8,120.60453783110545,4121.563255684513,54.772255750516614,1889.695147018075
41,gate,48,0,0,1,8,1.77,4123.3332556845135,0.0,1891.465147018075
42,move,144,0,6,1,14,147.70978917519926,4271.043044859713,67.08203932499369,1958.5471863430687
43,gate,96,0,0,1,14,1.5999999999999999,4272.643044859713,0.0,1960.1471863430686
44,gate,48,0,0,1,14,1.5999999999999999,4274.243044859713,0.0,1961.7471863430685
45,gate,36,0,0,1,14,1.77,4276.013044859714,0.0,1963.5171863430685
46,move,144,0,-34,1,-20,351.619629196613,4627.632674056327,159.68719422671313,2123.2043805697817
47,gate,12,0,0,1,-20,1.77,4629.402674056328,0.0,2124.9743805697817
48,move,144,0,4,1,-16,120.60453783110545,4750.007211887433,54.772255750516614,2179.7466363202984
49,gate,24,0,0,1,-16,1.77,4751.777211887434,0.0,2181.5166363202984
50,move,144,0,6,1,-10,147.70978917519926,4899.487001062633,67.08203932499369,2248.598675645292
51,gate,48,0,0,1,-10,1.5999999999999999,4901.087001062633,0.0,2250.198675645292
52,gate,24,0,0,1,-10,1.5999999999999999,4902.6870010626335,0.0,2251.798675645292
53,gate,36,0,0,1,-10,1.77,4904.457001062634,0.0,2253.568675645292
54,move,144,0,11,1,1,199.99999999999997,5104.457001062634,90.82951062292474,2344.3981862682167
55,move,144,3,0,4,1,104.4465935734187,5208.903594636053,47.43416490252569,2391.832351170742
56,gate,66,0,0,4,1,1.77,5210.673594636053,0.0,2393.602351170742
57,move,144,4,0,8,1,120.60453783110545,5331.278132467159,54.772255750516614,2448.374606921259
58,gate,60,0,0,8,1,1.77,5333.048132467159,0.0,2450.144606921259
59,move,144,-52,0,-44,1,436.3636363636363,5769.411768830795,197.48417658131498,2647.6287835025737
60,gate,120,0,0,-44,1,1.5999999999999999,5771.0117688307955,0.0,2649.2287835025736
61,gate,6,0,0,-44,1,1.77,5772.781768830796,0.0,2650.9987835025736
62,move,144,4,0,-40,1,120.60453783110545,5893.3863066619015,54.772255750516614,2705.7710392530903
63,gate,12,0,0,-40,1,1.77,5895.156306661902,0.0,2707.5410392530903
64,move,144,40,0,0,1,381.38503569823695,6276.5413423601385,173.20508075688772,2880.746120009978
65,unload,144,0,-1,0,0,75.30226891555272,6351.843611275691,27.386127875258307,2923.132247885236
66,gate,24,0,0,0,0,1.5999999999999999,6353.443611275691,0.0,2924.732247885236
