T,action,atoms_or_gates,delta_row,delta_col,aod_offset_row,aod_offset_col,solver_duration_us,solver_end_us,paper_eq3_motion_us,paper_eq3_plus_solver_overheads_end_us
29,gate,18,0,0,-34,1,1.77,1030.066692508742,0.0,1252.3835759476046
30,move,144,76,0,42,1,194.93588689617928,1225.0025794049213,238.74672772626644,1491.1303036738711
31,gate,6,0,0,42,1,1.77,1226.7725794049213,0.0,1492.9003036738711
32,move,144,-4,0,38,1,44.72135954999579,1271.4939389549172,54.772255750516614,1547.6725594243878
33,gate,12,0,0,38,1,1.77,1273.2639389549172,0.0,1549.4425594243878
34,move,144,-24,0,14,1,109.54451150103321,1382.8084504559504,134.16407864998737,1683.6066380743753
35,gate,12,0,0,14,1,1.5999999999999999,1384.4084504559503,0.0,1685.2066380743752
36,gate,54,0,0,14,1,1.77,1386.1784504559503,0.0,1686.9766380743752
37,move,144,-13,0,1,1,80.62257748298549,1466.8010279389357,98.74208829065749,1785.7187263650326
38,move,144,0,3,1,4,38.72983346207417,1505.5308614010098,47.43416490252569,1833.1528912675583
39,gate,60,0,0,1,4,1.77,1507.3008614010098,0.0,1834.9228912675583
40,move,144,0,4,1,8,44.72135954999579,1552.0222209510057,54.772255750516614,1889.695147018075
41,gate,48,0,0,1,8,1.77,1553.7922209510057,0.0,1891.465147018075
42,move,144,0,6,1,14,54.77225575051661,1608.5644767015224,67.08203932499369,1958.5471863430687
43,gate,96,0,0,1,14,1.5999999999999999,1610.1644767015223,0.0,1960.1471863430686
44,gate,48,0,0,1,14,1.5999999999999999,1611.7644767015222,0.0,1961.7471863430685
45,gate,36,0,0,1,14,1.77,1613.5344767015222,0.0,1963.5171863430685
46,move,144,0,-34,1,-20,130.384048104053,1743.918524805575,159.68719422671313,2123.2043805697817
47,gate,12,0,0,1,-20,1.77,1745.688524805575,0.0,2124.9743805697817
48,move,144,0,4,1,-16,44.72135954999579,1790.409884355571,54.772255750516614,2179.7466363202984
49,gate,24,0,0,1,-16,1.77,1792.179884355571,0.0,2181.5166363202984
50,move,144,0,6,1,-10,54.77225575051661,1846.9521401060877,67.08203932499369,2248.598675645292
51,gate,48,0,0,1,-10,1.5999999999999999,1848.5521401060876,0.0,2250.198675645292
52,gate,24,0,0,1,-10,1.5999999999999999,1850.1521401060875,0.0,2251.798675645292
53,gate,36,0,0,1,-10,1.77,1851.9221401060875,0.0,2253.568675645292
54,move,144,0,11,1,1,74.16198487095662,1926.084124977044,90.82951062292474,2344.3981862682167
55,move,144,3,0,4,1,38.72983346207417,1964.813958439118,47.43416490252569,2391.832351170742
56,gate,66,0,0,4,1,1.77,1966.583958439118,0.0,2393.602351170742
57,move,144,4,0,8,1,44.72135954999579,2011.305317989114,54.772255750516614,2448.374606921259
58,gate,60,0,0,8,1,1.77,2013.075317989114,0.0,2450.144606921259
59,move,144,-52,0,-44,1,161.24515496597098,2174.320472955085,197.48417658131498,2647.6287835025737
60,gate,120,0,0,-44,1,1.5999999999999999,2175.9204729550847,0.0,2649.2287835025736
61,gate,6,0,0,-44,1,1.77,2177.6904729550847,0.0,2650.9987835025736
62,move,144,4,0,-40,1,44.72135954999579,2222.4118325050804,54.772255750516614,2705.7710392530903
63,gate,12,0,0,-40,1,1.77,2224.1818325050804,0.0,2707.5410392530903
64,move,144,40,0,0,1,141.4213562373095,2365.6031887423896,173.20508075688772,2880.746120009978
65,unload,144,0,-1,0,0,37.36067977499789,2402.9638685173877,27.386127875258307,2923.132247885236
66,gate,24,0,0,0,0,1.5999999999999999,2404.5638685173876,0.0,2924.732247885236
